"locality","count"
"Chapletown","14"
"Belper","13"
"Bushey","12"
"Exeter","11"
"Rutherglen","10"
"Arbroath","10"
"High Wycombe","10"
"Aberdeen","9"
"Surbiton","9"
"Landshut","9"
"Lancing","9"
"Penzance","8"
"Great Wyrley","8"
"Charlottenburg-Nord","8"
"Gainsborough","7"
"Newbury","7"
"Westbury","7"
"Viewpark","7"
"Walton-on-the-Naze","7"
"Clacton-on-Sea","7"
"East Dereham","7"
"Selby","7"
"Lymington","6"
"Poulton-le-Fylde","6"
"Lower Earley","6"
"Hartley","6"
"Inverness","6"
"Kingston upon Hull","6"
"Pfullingen","6"
"Cowes","6"
"Strood","6"
"Blackpool","5"
"Leyland","5"
"Winsford","5"
"Albstadt","5"
"Radevormwald","5"
"Ehingen","5"
"Weimar","5"
"Thetford","5"
"Hechingen","4"
"Stuttgart","4"
"Mexborough","4"
"Rhosllanerchrugog","4"
"Friedberg","4"
"Oberhausen","4"
"Verl","4"
"Hofheim am Taunus","4"
"Bretten","4"
"Devizes","3"
"Schleswig","3"
"Eppingen","3"
"Barnet","3"
"Memmingen","3"
"Gronau","3"
"Bad Segeberg","3"
"Losheim","3"
"Southsea","3"
"Karben","3"
"Halstenbek","3"
"Burscheid","3"
"Oschatz","3"
"Siegburg","3"
"Marburg an der Lahn","3"
"Stade","2"
"Bad Honnef","2"
"Reutlingen","2"
"Zeitz","2"
"Gauting","2"
"Walsrode","2"
"Kirchlengern","2"
"Crystal Lake","2"
"Dahlem","2"
"Trossingen","2"
"Mira Mesa","2"
"Nidderau","2"
"Korschenbroich","2"
"Aschaffenburg","2"
"Barmbek-Nord","2"
"Wesseling","2"
"Wittenau","1"
"Scottsdale","1"
"Brierley Hill","1"
"Lutz","1"
"Hermsdorf","1"
"Newburgh","1"
"Martinsburg","1"
"Troutdale","1"
"Searcy","1"
"Brunswick","1"
"Gifhorn","1"
"Sun City Center","1"
"Columbia Heights","1"
"Neuburg an der Donau","1"
"Scarsdale","1"
"Belle Glade","1"
"Hutchinson","1"
"Kaukauna","1"
"Sicklerville","1"
"Westchester","1"
"Morningside Heights","1"
"Jackson","1"
"Venice","1"
"Fayetteville","1"
"Waverly","1"
"Rudolstadt","1"
"Carlsbad","1"
"Fairview Heights","1"
"Redding","1"
"Bensheim","1"
"Port Richmond","1"
"Porterville","1"
"Bridgeport","1"
"Jersey City","1"
"Boston","1"
"Iron River","1"
"Sterling","1"
